ItemID,Genre
f21b2ac4bf6ad570a23bc86535f340445057dde2bbf105940c441e3a90f8865f,Adventure
c0cbf7497415d87d502a36b6b14f88a917105510a733ccf53061a2bfe925b37c,Horror
a3f1422de1380dbf5bf66dcd97ed7814fe5bc3527aef7b61d442111268508038,Comedy
c74c320b85b9753e5ace9f004188621486cb62b74fc20783a34efbd2c551f459,Thriller
d2bca857bb5d1071c1a242f7a38e9dc008afcecff5d551da1b11c0d88644f5fa,Action
211d94e27bafe65dd6dd7fea7e020fdff7747636add8df6a8f119fe4cc8b7b5e,Surreal
1429c4f71a88a7da5a12bb2e7e135aceec6e12266ac39d676dfed8eb046ba89f,Drama
19ee694e13c2f6fee77f1bcd3969f03a4fb22f6a06cbb7a96142eb9c9dcdd0da,Romance
d83ceaf3f66c749f400373c891ff09449d15ef4b9fd2e859c2eb42c06ee1e2e9,Thriller
1f85f0cbdcf7b861da8c8e939602125b40e3dc1e960713851b23361e708e9f7d,Action
b7ccd5ba1ada95a2517bd3a08c1a50d1c394f4cc2695e731a609db8328883de9,Drama
df0bf5cf82f51b6c8c1af201d279cb5093394fab218ed5e8f8da4af47557d2e0,Historical
489985a01adb8b6619fa78d91e3309c50452f9ce307817f240cd9a14274c370f,Comedy
02b3e03619b7aee04cacf24ceb710f153f3ebb4cea41bb60e8109ca783174978,Comedy
3cfa987c560a84e75bacc4d656c551dbb72abfb131c6ee6166566d46e51d733d,Mystery
1d9fc7e83373484e30492b21db51661fa1aacf35f0907b27f80a0eb45c661c98,Political
0f07d402d9989d59c59a2f673baec8f3368c9dce8daa3283ed8f00a244ff612e,Crime
44099e53c623db16db95dd5cdc3aef95bc66c208ce2a1714e408d962509625e7,Comedy
7688f0ca314473b54f71200b9df526e80b539d498035dbd0007c015a7e476d6e,Action
f5223de8b4d7d3841468e9f5e703fd881255ef282d413e9e21cc6161faefa64e,Mystery
bd03b4065106947e78b1208d58f2809b5d714fac3047ba7b2369b60861e268cd,Horror
436812f812eebd5d1a3dd12533758f1f9dce1bccad2817b71267c1adbb05841c,Political
c36e9afd3aa259917c755ee53e20f7f0838ef1fdec0b06b78947200701e4ecb4,Action
ba918427852a8fa42b881eb26d237be082c2eb1bb4c708935fc9d4bc086971fe,Comedy
787e45f0fa2f1df87e03bbaf8949f98506f1217bda1e8bbc7c4183a5b854bd1e,Action
a74b8f366fbbd915d6dc2f4d51c01d46b6da37af4346d69f9b06b6265ac6f412,Horror
d763171569c3d2be12bf6382c786445e2e70976ad77875bb86277c3861c875f2,Action
09b79f01cac655e7cc69062ead11a1d331fb09c0abdcb9cb5b448c78065e86f3,Comedy
cbdbe8262fff7ad02d4611f15f480515644426139feb468ae828c8ed4afe64e9,Action
42b0ffd7aa1bf69d357408b3574f3f028fcb6fc9d3dd84daabbeb7cbfa1c2151,Fantasy
a363cd407ac525145e788523f39ed1b01a12979f2a509265722aec4559cba111,Comedy
d71ee8dc567db48d63c8cc17e096bb35399baec349740c319909c0e4425351cc,Drama
8b1bd33806e438aac0de7c013cfa05e91dac2918c2bd1f53ba736f10c56fd81d,Political
2ae07ca77f82df3ebe5fdad1d6b89e3f3048872fd36f374f89234a20601bf818,Political
7265f277726bbefe0c5fe6f61df4126654395d18c81fab8915814ef0455b7c13,Comedy
9ccee3da119b6c7c3794ee83bb89c42a6fd5ece3b735bea4d3be5af9cb5f4c0d,Political
5ad5fb794644e085c03c060e361329f875b3ec1947995211215a9ba42b031bd6,Fantasy
b0947e49dd961315189b4d63b5f4bc3eada7410283d601aec62819139a1a2283,Thriller
33d4cc45449cebd7c38612ce8f3315c91cfcb06e93e4cf97fc9ee0e42c0cf030,Fantasy
c31b12b4d4974f0b2fd12c0f2afbde55273a9597e36488b8681274a0fda4e10d,Horror
fb807c528eb474c11c82d013b6a1cdf75f2e841b1b6955b8a8ef8c4aa840c732,Crime
cf4547eb4c4844a787fdc9ac79aa735f780ab2fc00967540c3225ac241534f2b,Mystery
1436eaae06ea366ecf2cda16500f11c2e542842a2c5fa52dec77601b549e2c05,Fantasy
198087e37128e724163b19d230cc08dfd4dceae725ccb5936dbaee8f8a69186c,Action
2bac2cfe06445f4733e85816b58f5d0aa549e092a841c3a37417a49bd32859f3,Adventure
0bdf43b24887c4976216dfc0bd815772c1c0c6b358a36f12eae398bf201ea663,Comedy
22a1d3e0ba175b5478fe3e09fc3de0a722c5e896cc9ed228410995e6f5a531b5,Political
2c203f0f7b9bf0b2c9d9e6d21503f0d45925a1115ef70edaa1724e502939baca,Comedy
7c610e5cece751c80b05da7e16d0866602dcb4ec3348aa0b807ef76716696f18,Mystery
161b7d10bcd0cbec02bfd704afef1702c8358d524b416793ed7c0b68f9bba025,Mystery
df0bf5cf82f51b6c8c1af201d279cb5093394fab218ed5e8f8da4af47557d2e0,Comedy
e5fb59531af5b32451546bd99c93c89ffafd76cf4d2a615aafa9127ed9ee0ac1,Historical
